MilitaryExpenditure,Year
0.331919,1896
0.33239,1897
1.24211,1898
1.27342,1899
1.25474,1900
0.565045,1901
0.857167,1902
0.854688,1903
0.770753,1904
1.04345,1905
0.925174,1906
0.649157,1911
1.04026,1932
1.24441,1933
1.47782,1934
1.54018,1935
1.68236,1936
14.6418,1949
15.0781,1950
15.6318,1951
11.5694,1952
8.9493,1953
8.49029,1954
6.52288,1955
12.5363,1956
13.672,1957
10.4584,1958
10.7535,1959
11.3369,1960
16.0357,1961
19.9291,1962
21.3373,1963
21.8172,1964
19.8056,1965
21.0466,1966
22.7738,1967
25.5797,1968
25.892,1969
26.026,1970
21.8426,1971
20.0103,1972
17.9287,1973
18.821,1974
17.5487,1975
20.8157,1976
18.962,1977
23.5614,1978
16.9294,1979
15.0056,1980
15.555,1981
16.1855,1982
15.0646,1983
9.19306,1984
2.04469,1985
1.94971,1986
2.07239,1987
1.88394,1988
1.9248,1989
1.67918,1990
4.90966,1991
5.68165,1992
6.1786,1993
5.14063,1994
4.49734,1995
4.19913,1996
3.81221,1997
3.72216,1998
3.66134,1999
3.48011,2000
3.45608,2001
4.70642,2002
4.56925,2003
4.339,2004
1.31569,2005
1.28811,2006
1.30986,2007
1.30913,2008
1.38418,2009
1.26418,2010
1.20336,2011
1.2131,2012
1.87233,2013
1.91534,2014
1.93492,2015
1.92296,2016