Year,MilitaryExpenditure
1827,2.81632
1828,2.44793
1829,2.56271
1830,2.17741
1831,2.32969
1832,2.33099
1833,2.12355
1834,1.94473
1835,1.6493
1836,1.60487
1837,1.79111
1838,1.73147
1839,1.93143
1840,2.02054
1841,2.26467
1842,2.47071
1843,2.38639
1844,2.10314
1845,2.30677
1846,2.54295
1847,2.6556
1848,2.93675
1849,2.38315
1850,2.48074
1851,2.33686
1852,2.00452
1853,1.57613
1854,11.6588
1855,5.75241
1856,4.75148
1857,2.82941
1858,3.22421
1859,3.61725
1860,3.54255
1861,3.66371
1862,3.39267
1863,2.68921
1864,2.45319
1865,2.41928
1866,2.32203
1867,2.95922
1868,2.99083
1869,2.3385
1870,1.94099
1871,1.42743
1872,1.6273
1873,1.63023
1874,1.63829
1875,1.69462
1876,1.81505
1877,2.06012
1878,2.1897
1879,2.19974
1880,1.76092
1881,1.79807
1882,1.8728
1883,1.89961
1884,2.17452
1885,3.12416
1886,2.39902
1887,2.17058
1888,2.03571
1889,2.05895
1890,2.05284
1891,2.0597
1892,2.2684
1893,2.12119
1894,2.23504
1895,2.34997
1896,2.24541
1897,2.17741
1898,2.2722
1899,3.51282
1900,6.34414
1901,6.17517
1902,4.90131
1903,3.53004
1904,3.17464
1905,2.85295
1906,2.65121
1907,2.51808
1908,2.5736
1909,2.75497
1910,2.86995
1911,2.9326
1912,2.92037
1913,2.79893
1914,13.8931
1915,33.2246
1916,37.9642
1917,37.3124
1918,33.2948
1919,3.0671
1920,6.75019
1921,4.36399
1922,2.78104
1923,3.00253
1924,3.0294
1925,2.66676
1926,2.66329
1927,2.54078
1928,2.42652
1929,2.3464
1930,2.28275
1931,2.50164
1932,2.20743
1933,1.83842
1934,2.37276
1935,2.79367
1936,3.60009
1937,4.72333
1938,6.92954
1939,30.0745
1940,36.1261
1941,32.3319
1942,35.2291
1943,37.7569
1944,39.5712
1945,42.5514
1946,44.1622
1947,15.3329
1948,7.18305
1949,6.86741
1950,6.44853
1951,7.8342
1952,9.78026
1953,9.58483
1954,8.71842
1955,8.0105
1956,7.72851
1957,7.09281
1958,6.89376
1959,6.51266
1960,6.38877
1961,6.24203
1962,6.30082
1963,6.13162
1964,6.00498
1965,5.80597
1966,5.64673
1967,5.71728
1968,5.37329
1969,4.89189
1970,4.49705
1971,4.61185
1972,4.78372
1973,4.47676
1974,4.71615
1975,4.71028
1976,4.7411
1977,4.51593
1978,4.34725
1979,4.35946
1980,4.72931
1981,4.70949
1982,4.68483
1983,5.07873
1984,5.02146
1985,4.89693
1986,4.54308
1987,4.2515
1988,3.50242
1989,3.3681
1990,3.50498
1991,3.52616
1992,3.56518
1993,3.20096
1994,3.1003
1995,2.69876
1996,2.69702
1997,2.46899
1998,2.47638
1999,2.32319
2000,2.29018
2001,2.25982
2002,2.2647
2003,2.22578
2004,2.17982
2005,2.35119
2006,2.3115
2007,2.12888
2008,2.15788
2009,2.54204
2010,2.40437
2011,2.30983
2012,2.32144
2013,2.09088
2014,1.97213
2015,1.88258
2016,1.84379